Pallet,Weight,Profit
1,480,32
2,460,30
3,440,28
4,420,27
5,400,30
6,380,26
7,360,24
8,340,22
9,320,25
10,300,21
11,280,20
12,260,19
13,240,18
14,230,17
15,220,23
16,210,21
17,200,19
18,190,18
19,180,16
20,170,20
21,160,18
22,150,17
23,140,15
24,130,14
25,120,13
26,110,12
27,100,12
28,95,11
29,90,10
30,85,10
31,80,9
32,75,9
33,70,8
34,68,7
35,65,7
36,63,6
37,60,6
38,58,6
39,56,5
40,54,5
41,52,5
42,50,5
43,48,5
44,46,4
45,44,4
46,42,4
47,40,4
48,38,4
49,36,3
50,34,3
51,32,3
52,30,3
53,28,3
54,26,2
55,24,2
56,22,2
57,20,2
58,18,2
59,16,2
60,14,2
61,12,2
62,10,2
63,9,1
64,8,1
65,7,1
66,6,1
67,5,1
68,4,1
69,3,1
70,2,1
71,2,1
72,2,1
73,1,1
74,1,1
75,1,1
